[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ route_check ] --START--
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run ParseTemplate Behavior [ RunTime:0.002500s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002546s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run ContentReplace Behavior [ RunTime:0.000054s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run TokenBuild Behavior [ RunTime:0.000029s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000012s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run ShowRuntime Behavior [ RunTime:0.000029s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000157s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ view_end ] --START--
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000014s ]
[ 2016-10-05T16:08:29+08:00 ] /marchsoft.cn/index.php/Index/index_rmg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000038s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000053s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000118s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000034s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000051s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | SQL: SHOW COLUMNS FROM `march_lecture` [ RunTime:0.000379s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | SQL: SELECT * FROM `march_lecture` ORDER BY idmarch_lecture desc LIMIT 10   [ RunTime:0.000041s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000055s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000077s ]
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-05T16:08:34+08:00 ] /marchsoft.cn/index.php/Lecture/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
